sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,31.25,0,915,100,0.697344,1,0.697344,2000,1394.688000,28,1744,277,226,26,1,0,0,0.00,0.000000,19.525632,1216.167936,193.164288,5,20
8,31.25,0,915,100,1.230848,1,1.230848,1999,2460.465152,50,1723,275,147,26,1,0,0,0.00,0.000000,61.542400,2120.751104,338.483200,5,20
9,31.25,0,915,100,2.215936,1,2.215936,1995,4420.792320,84,1694,266,84,26,1,0,0,0.00,0.000000,186.138624,3753.795584,589.438976,5,20
10,31.25,0,915,100,4.104192,1,4.104192,1991,8171.446272,170,1611,256,10,24,1,0,0,0.00,0.000000,697.712640,6611.853312,1050.673152,5,20
11,31.25,0,915,100,7.553024,1,7.553024,1988,15015.411712,294,1501,239,0,22,1,0,0,0.00,0.000000,2220.589056,11337.089024,1805.172736,5,20
12,31.25,0,915,100,13.795328,1,13.795328,1984,27369.930752,521,1290,210,0,18,1,0,0,0.00,0.000000,7187.365888,17795.973120,2897.018880,5,20
