sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop
7,125,0,868,50,0.097536,1,0.097536,2000,195.072000,4,1761,0,0,0,0,235,235,11.75,22.920960,0.390144,171.760896,0.000000
8,125,0,868,50,0.174592,1,0.174592,2000,349.184000,4,1761,0,0,0,0,235,235,11.75,41.029120,0.698368,307.456512,0.000000
9,125,0,868,50,0.328704,1,0.328704,2000,657.408000,14,1751,2,0,2,0,233,233,11.65,76.588032,4.601856,575.560704,0.657408
10,125,0,868,50,0.616448,1,0.616448,2000,1232.896000,28,1744,68,0,68,0,173,160,8.65,98.631680,17.260544,1075.085312,41.918464
11,125,0,868,50,1.314816,1,1.314816,1999,2628.317184,52,1723,132,0,131,1,114,92,5.70,120.963072,68.370432,2265.427968,173.555712
12,125,0,868,50,2.301952,1,2.301952,1995,4592.394240,86,1692,213,0,212,1,42,4,2.11,9.207808,197.967872,3894.902784,490.315776
