sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,125,0,433,35,0.077056,1,0.077056,2000,154.112000,4,1761,0,0,0,0,235,235,11.75,18.108160,0.308224,135.695616,0.000000,5,20
8,125,0,433,35,0.143872,1,0.143872,2000,287.744000,4,1761,0,0,0,0,235,235,11.75,33.809920,0.575488,253.358592,0.000000,5,20
9,125,0,433,35,0.246784,1,0.246784,2000,493.568000,10,1755,0,0,0,0,235,235,11.75,57.994240,2.467840,433.105920,0.000000,5,20
10,125,0,433,35,0.493568,1,0.493568,2000,987.136000,18,1751,21,0,21,0,214,210,10.70,103.649280,8.884224,864.237568,10.364928,5,20
11,125,0,433,35,0.987136,1,0.987136,2000,1974.272000,42,1732,84,0,84,0,155,142,7.75,140.173312,41.459712,1709.719552,82.919424,5,20
12,125,0,433,35,1.810432,1,1.810432,1995,3611.811840,74,1702,148,0,147,1,94,71,4.71,128.540672,133.971968,3081.355264,267.943936,5,20
