sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop
7,125,0,868,35,0.077056,1,0.077056,2000,154.112000,4,1761,0,0,0,0,235,235,11.75,18.10816,0.308224,135.695616,0.0
8,125,0,868,35,0.143872,1,0.143872,2000,287.744000,4,1761,0,0,0,0,235,235,11.75,33.80992,0.575488,253.358592,0.0
9,125,0,868,35,0.246784,1,0.246784,2000,493.568000,10,1755,0,0,0,0,235,235,11.75,57.99424,2.46784,433.10592,0.0
10,125,0,868,35,0.493568,1,0.493568,2000,987.136000,18,1751,55,0,55,0,186,176,9.30,86.867968,8.884224,864.237568,27.14624
11,125,0,868,35,0.987136,1,0.987136,2000,1974.272000,42,1732,120,0,120,0,125,106,6.25,104.636416,41.459712,1709.719552,118.45632
12,125,0,868,35,1.810432,1,1.810432,1995,3611.811840,74,1702,194,0,193,1,58,25,2.91,45.260800,133.971968,3081.355264,351.223808
