sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,125,0,915,200,0.317696,1,0.317696,2000,635.392000,14,1751,0,0,0,0,235,235,11.75,74.658560,4.447744,556.285696,0.000000,5,20
8,125,0,915,200,0.563712,1,0.563712,2000,1127.424000,24,1747,1,0,1,0,228,228,11.40,128.526336,13.529088,984.804864,0.563712,5,20
9,125,0,915,200,1.004544,1,1.004544,2000,2009.088000,44,1730,62,0,62,0,176,164,8.80,164.745216,44.199936,1737.861120,62.281728,5,20
10,125,0,915,200,1.845248,1,1.845248,1995,3681.269760,74,1702,123,0,122,1,117,96,5.86,177.143808,136.548352,3140.612096,226.965504,5,20
11,125,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,192,0,191,1,51,19,2.56,76.345344,638.889984,6513.463296,771.489792,5,20
12,125,0,915,200,7.217152,1,7.217152,1989,14354.915328,280,1514,241,0,240,1,0,0,0.00,0.000000,2020.802560,10926.768128,1739.333632,5,20
