sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop
7,125,0,868,100,0.174336,1,0.174336,2000,348.672000,4,1761,0,0,0,0,235,235,11.75,40.968960,0.697344,307.005696,0.000000
8,125,0,868,100,0.307712,1,0.307712,2000,615.424000,14,1751,0,0,0,0,235,235,11.75,72.312320,4.307968,538.803712,0.000000
9,125,0,868,100,0.553984,1,0.553984,2000,1107.968000,24,1747,28,0,28,0,206,201,10.30,111.350784,13.295616,967.810048,15.511552
10,125,0,868,100,1.026048,1,1.026048,2000,2052.096000,44,1730,96,0,96,0,144,130,7.20,133.386240,45.146112,1775.063040,98.500608
11,125,0,868,100,2.215936,1,2.215936,1995,4420.792320,84,1694,149,0,148,1,91,68,4.56,150.683648,186.138624,3753.795584,330.174464
12,125,0,868,100,3.940352,1,3.940352,1991,7845.240832,155,1625,239,0,238,1,15,15,0.75,59.105280,610.754560,6403.072000,941.744128
