sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,31.25,0,433,50,0.390144,1,0.390144,2000,780.288000,16,1751,196,195,0,1,67,37,3.35,14.435328,6.242304,683.142144,76.468224,5,20
8,31.25,0,433,50,0.698368,1,0.698368,2000,1396.736000,28,1744,248,201,46,1,23,23,1.15,16.062464,19.554304,1217.953792,173.195264,5,20
9,31.25,0,433,50,1.314816,1,1.314816,1999,2628.317184,52,1723,273,146,72,1,0,0,0.00,0.000000,68.370432,2265.427968,358.944768,5,20
10,31.25,0,433,50,2.465792,1,2.465792,1995,4919.255040,94,1684,266,82,70,1,0,0,0.00,0.000000,231.784448,4152.393728,655.900672,5,20
11,31.25,0,433,50,4.603904,1,4.603904,1990,9161.768960,181,1601,254,10,68,1,0,0,0.00,0.000000,833.306624,7370.850304,1169.391616,5,20
12,31.25,0,433,50,8.552448,1,8.552448,1987,16993.714176,334,1462,237,0,63,1,0,0,0.00,0.000000,2856.517632,12503.678976,2026.930176,5,20
