sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop
7,125,0,868,200,0.317696,1,0.317696,2000,635.392000,14,1751,0,0,0,0,235,235,11.75,74.658560,4.447744,556.285696,0.000000
8,125,0,868,200,0.563712,1,0.563712,2000,1127.424000,24,1747,0,0,0,0,229,229,11.45,129.090048,13.529088,984.804864,0.000000
9,125,0,868,200,1.004544,1,1.004544,2000,2009.088000,44,1730,60,0,60,0,178,166,8.90,166.754304,44.199936,1737.861120,60.272640
10,125,0,868,200,1.845248,1,1.845248,1995,3681.269760,74,1702,122,0,121,1,118,97,5.91,178.989056,136.548352,3140.612096,225.120256
11,125,0,868,200,4.018176,1,4.018176,1991,8000.188416,159,1621,186,0,185,1,56,25,2.81,100.454400,638.889984,6513.463296,747.380736
12,125,0,868,200,7.217152,1,7.217152,1989,14354.915328,280,1514,241,0,240,1,0,0,0.00,0.000000,2020.802560,10926.768128,1739.333632
