sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs,link_margin_energy_pass,failed_energy_link_margin,bytes_per_joule
7,125,0,433,51,0.102656,1,0.102656,2000,205.312000,4,1761,0,0,0,0,179,172,8.95,17.656832,0.410624,180.777216,0.000000,5,20,18.375424,6.467328,42.73
8,125,0,433,51,0.184832,1,0.184832,2000,369.664000,4,1761,0,0,0,0,235,235,11.75,43.435520,0.739328,325.489152,0.000000,5,20,43.435520,0.000000,32.42
9,125,0,433,51,0.328704,1,0.328704,2000,657.408000,14,1751,0,0,0,0,235,235,11.75,77.245440,4.601856,575.560704,0.000000,5,20,77.245440,0.000000,18.23
10,125,0,433,51,0.616448,1,0.616448,2000,1232.896000,28,1744,28,0,28,0,205,200,10.25,123.289600,17.260544,1075.085312,17.260544,5,20,143.632384,0.000000,8.27
11,125,0,433,51,1.314816,1,1.314816,1999,2628.317184,52,1723,102,0,102,0,137,122,6.85,160.407552,68.370432,2265.427968,134.111232,5,20,314.241024,0.000000,2.37
12,125,0,433,51,2.465792,1,2.465792,1995,4919.255040,94,1684,154,0,153,1,87,63,4.36,155.344896,231.784448,4152.393728,379.731968,5,20,594.255872,0.000000,0.65
