sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,125,0,915,100,0.174336,1,0.174336,2000,348.672000,4,1761,0,0,0,0,235,235,11.75,40.968960,0.697344,307.005696,0.000000,5,20
8,125,0,915,100,0.307712,1,0.307712,2000,615.424000,14,1751,0,0,0,0,235,235,11.75,72.312320,4.307968,538.803712,0.000000,5,20
9,125,0,915,100,0.553984,1,0.553984,2000,1107.968000,24,1747,28,0,28,0,206,201,10.30,111.350784,13.295616,967.810048,15.511552,5,20
10,125,0,915,100,1.026048,1,1.026048,2000,2052.096000,44,1730,101,0,101,0,140,125,7.00,128.256000,45.146112,1775.063040,103.630848,5,20
11,125,0,915,100,2.215936,1,2.215936,1995,4420.792320,84,1694,150,0,149,1,90,67,4.51,148.467712,186.138624,3753.795584,332.390400,5,20
12,125,0,915,100,3.940352,1,3.940352,1991,7845.240832,155,1625,239,0,238,1,15,15,0.75,59.105280,610.754560,6403.072000,941.744128,5,20
