sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,31.25,0,868,50,0.390144,1,0.390144,2000,780.288000,16,1751,276,247,24,1,3,3,0.15,1.170432,6.242304,683.142144,107.679744,5,20
8,31.25,0,868,50,0.698368,1,0.698368,2000,1396.736000,28,1744,277,183,27,1,0,0,0.00,0.000000,19.554304,1217.953792,193.447936,5,20
9,31.25,0,868,50,1.314816,1,1.314816,1999,2628.317184,52,1723,273,114,27,1,0,0,0.00,0.000000,68.370432,2265.427968,358.944768,5,20
10,31.25,0,868,50,2.465792,1,2.465792,1995,4919.255040,94,1684,266,38,27,1,0,0,0.00,0.000000,231.784448,4152.393728,655.900672,5,20
11,31.25,0,868,50,4.603904,1,4.603904,1990,9161.768960,181,1601,254,0,25,1,0,0,0.00,0.000000,833.306624,7370.850304,1169.391616,5,20
12,31.25,0,868,50,8.552448,1,8.552448,1987,16993.714176,334,1462,237,0,23,1,0,0,0.00,0.000000,2856.517632,12503.678976,2026.930176,5,20
