sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs,link_margin_energy_pass,failed_energy_link_margin,bytes_per_joule
7,125,0,433,100,0.174336,1,0.174336,2000,348.672000,4,1761,0,0,0,0,179,172,8.95,29.985792,0.697344,307.005696,0.000000,5,20,31.206144,10.983168,49.33
8,125,0,433,100,0.307712,1,0.307712,2000,615.424000,14,1751,0,0,0,0,235,235,11.75,72.312320,4.307968,538.803712,0.000000,5,20,72.312320,0.000000,38.19
9,125,0,433,100,0.553984,1,0.553984,2000,1107.968000,24,1747,0,0,0,0,229,229,11.45,126.862336,13.295616,967.810048,0.000000,5,20,126.862336,0.000000,20.67
10,125,0,433,100,1.026048,1,1.026048,2000,2052.096000,44,1730,60,0,60,0,178,166,8.90,170.323968,45.146112,1775.063040,61.562880,5,20,244.199424,0.000000,8.09
11,125,0,433,100,2.215936,1,2.215936,1995,4420.792320,84,1694,120,0,119,1,118,97,5.91,214.945792,186.138624,3753.795584,265.912320,5,20,527.392768,0.000000,2.19
12,125,0,433,100,3.940352,1,3.940352,1991,7845.240832,155,1625,186,0,185,1,56,25,2.81,98.508800,610.754560,6403.072000,732.905472,5,20,953.565184,0.000000,0.32
