sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,31.25,0,915,35,0.308224,1,0.308224,2000,616.448000,14,1751,266,249,15,1,11,11,0.55,3.390464,4.315136,539.700224,81.987584,5,20
8,31.25,0,915,35,0.575488,1,0.575488,2000,1150.976000,24,1747,278,192,26,1,0,0,0.00,0.000000,13.811712,1005.377536,159.985664,5,20
9,31.25,0,915,35,0.987136,1,0.987136,2000,1974.272000,42,1732,275,124,26,1,0,0,0.00,0.000000,41.459712,1709.719552,271.462400,5,20
10,31.25,0,915,35,1.974272,1,1.974272,1995,3938.672640,78,1700,266,44,26,1,0,0,0.00,0.000000,153.993216,3356.262400,525.156352,5,20
11,31.25,0,915,35,3.620864,1,3.620864,1992,7212.761088,145,1633,260,0,24,1,0,0,0.00,0.000000,525.025280,5912.870912,941.424640,5,20
12,31.25,0,915,35,6.586368,1,6.586368,1990,13106.872320,250,1543,243,0,22,1,0,0,0.00,0.000000,1646.592000,10162.765824,1600.487424,5,20
