sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,125,0,915,50,0.097536,1,0.097536,2000,195.072000,4,1761,0,0,0,0,235,235,11.75,22.920960,0.390144,171.760896,0.000000,5,20
8,125,0,915,50,0.174592,1,0.174592,2000,349.184000,4,1761,0,0,0,0,235,235,11.75,41.029120,0.698368,307.456512,0.000000,5,20
9,125,0,915,50,0.328704,1,0.328704,2000,657.408000,14,1751,10,0,10,0,225,225,11.25,73.958400,4.601856,575.560704,3.287040,5,20
10,125,0,915,50,0.616448,1,0.616448,2000,1232.896000,28,1744,70,0,70,0,171,158,8.55,97.398784,17.260544,1075.085312,43.151360,5,20
11,125,0,915,50,1.314816,1,1.314816,1999,2628.317184,52,1723,137,0,136,1,110,87,5.50,114.388992,68.370432,2265.427968,180.129792,5,20
12,125,0,915,50,2.301952,1,2.301952,1995,4592.394240,86,1692,215,0,214,1,40,2,2.01,4.603904,197.967872,3894.902784,494.919680,5,20
